"BehaviorSpace results (NetLogo 3D 6.1.0)"
"MacrophageDifferentiationModel.nlogo3d"
"NinaExploInAbsenceOfMonocytes"
"07/23/2020 13:58:51:885 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-72","72","-72","72"
"[run number]","gui-death_rate","[step]","getViability","getRemainingCellRatio","getSeed"
"1","1.001","193","94","100","40"
"4","1.001","183","94","100","140"
"2","1.001","190","94","100","38"
"3","1.001","191","94","100","90"
"4","1.001","184","94","100","140"
"1","1.001","194","94","100","40"
"2","1.001","191","94","100","38"
"3","1.001","192","94","100","90"
"4","1.001","185","94","100","140"
"1","1.001","195","94","100","40"
"2","1.001","192","94","100","38"
"3","1.001","193","94","100","90"
"4","1.001","186","94","100","140"
"1","1.001","196","94","100","40"
"2","1.001","193","94","100","38"
"3","1.001","194","94","100","90"
"4","1.001","187","94","100","140"
"1","1.001","197","94","100","40"
"2","1.001","194","94","100","38"
"3","1.001","195","94","100","90"
"4","1.001","188","94","100","140"
"1","1.001","198","94","100","40"
"2","1.001","195","94","100","38"
"3","1.001","196","94","100","90"
"4","1.001","189","94","100","140"
"1","1.001","199","94","100","40"
"2","1.001","196","94","100","38"
"3","1.001","197","94","100","90"
"4","1.001","190","94","100","140"
"2","1.001","197","94","100","38"
"1","1.001","200","94","100","40"
"3","1.001","198","94","100","90"
"4","1.001","191","94","100","140"
"2","1.001","198","94","100","38"
"1","1.001","201","94","100","40"
"3","1.001","199","94","100","90"
"4","1.001","192","94","100","140"
"2","1.001","199","94","100","38"
"1","1.001","202","94","100","40"
"3","1.001","200","94","100","90"
"4","1.001","193","94","100","140"
"2","1.001","200","94","100","38"
